OPERAÇ?ES VENDA;Consulcamp;;
NCM;CFOP;CST_ICMS;CFOP_TRANSF
27079990;5655;00;5659
27101249;5102;00;5152
28061010;5102;00;5152
28272090;5102;00;5152
29161990;5102;00;5152
29420000;5102;00;5152
32082011;5102;00;5152
32082020;5102;00;5152
34012090;5102;00;5152
38151900;5102;00;5152
38249939;5102;00;5152
38249989;5102;00;5152
39073011;5102;00;5152
39206299;5102;00;5152
39233090;5102;00;5152
39269069;5102;00;5152
40092290;5405;60;5409
40094290;5405;60;5409
40103500;5405;60;5409
48237000;5102;00;5152
56041000;5102;00;5152
68151020;5102;00;5152
70109011;5102;00;5152
72132000;5102;00;5152
73042931;5102;00;5152
73043110;5102;00;5152
74199990;5102;00;5152
82075090;5102;00;5152
83024900;5102;00;5152
84099114;5405;60;5409
84129080;5102;00;5152
84129090;5102;00;5152
84148090;5102;00;5152
84195021;5405;60;5409
84199039;5102;00;5152
84669100;5102;00;5152
84672992;5102;00;5152
84796000;5102;00;5152
84818097;5102;00;5152
84829910;5405;60;5409
84841000;5405;60;5409
85013210;5102;00;5152
85013310;5102;00;5152
85030090;5102;00;5152
85059080;5102;00;5152
85059090;5102;00;5152
85111000;5405;60;5409
85112010;5405;60;5409
85333910;5102;00;5152
85334011;5102;00;5152
85334099;5102;00;5152
85371090;5102;00;5152
85439010;5102;00;5152
85472090;5102;00;5152
87042390;5102;00;5152
87084080;5405;60;5409
87089200;5405;60;5409
87164000;5102;00;5152
87169010;5405;60;5409
89020090;5102;00;5152
90259090;5102;00;5152
90268000;5102;00;5152
90291090;5405;60;5409
90312090;5102;00;5152
90328923;5405;60;5409
90328981;5405;60;5409
90328990;5405;60;5409
