Lista de NCMS monofásicos passados pela Gabriela(Fiscal) e Validado pela Aline (Consulcamp)
(atualizada, em 06/10/2020).
 --------------
| NCM, EXCECAO |
 --------------


4009.12.10 , 0
4009.12.90 , 0
4009.22.10 , 0
4009.22.90 , 0
4009.32.10 , 0
4009.32.90 , 0
4009.42.10 , 0
4009.42.90 , 0
4016.10.10 , 0
6813.20.00 , 0
6813.20.00 , 1
6813.81.10 , 0
6813.81.90 , 0
6813.89.10 , 0
6813.89.90 , 0
7007.11.00 , 0
7007.11.00 , 1
7007.21.00 , 0
7007.21.00 , 1
7009.10.00 , 0
7009.10.00 , 1
8301.20.00 , 0
8302.30.00 , 0
8407.33.90 , 0
8407.34.90 , 0
8408.20.10 , 0
8408.20.20 , 0
8408.20.20 , 1
8408.20.20 , 2
8408.20.30 , 0
8408.20.30 , 1
8408.20.30 , 2
8408.20.90 , 0
8408.20.90 , 1
8408.20.90 , 2
8408.90.90 , 0
8409.91.11 , 0
8409.99.12 , 0
8409.99.12 , 1
8409.91.13 , 0
8409.91.14 , 0
8409.91.15 , 0
8409.91.16 , 0
8409.91.17 , 0
8409.91.18 , 0
8409.91.20 , 0
8409.91.30 , 0
8409.91.40 , 0
8409.91.90 , 0
8409.99.12 , 0
8409.99.12 , 1
8409.99.14 , 0
8409.99.15 , 0
8409.99.17 , 0
8409.99.21 , 0
8409.99.29 , 0
8409.99.30 , 0
8409.99.41 , 0
8409.99.41 , 1
8409.99.49 , 0
8409.99.49 , 1
8409.99.51 , 0
8409.99.51 , 1
8409.99.59 , 0
8409.99.59 , 1
8409.99.61 , 0
8409.99.69 , 0
8409.99.71 , 0
8409.99.79 , 0
8409.99.91 , 0
8409.99.99 , 0
8409.99.99 , 1
8412.21.10 , 0
8412.21.90 , 0
8412.31.10 , 0
8413.30.10 , 0
8413.30.20 , 0
8413.30.20 , 1
8413.30.30 , 0
8413.30.90 , 0
8413.60.19 , 0
8414.80.19 , 0
8414.80.21 , 0
8414.80.22 , 0
8414.90.39 , 0
8415.20.10 , 0
8415.20.90 , 0
8421.23.00 , 0
8421.23.00 , 1
8421.23.00 , 2
8421.31.00 , 0
8431.41.00 , 0
8431.42.00 , 0
8431.49.21 , 0
8431.49.22 , 0
8431.49.23 , 0
8431.49.29 , 0
8432.90.00 , 0
8433.90.90 , 0
8433.90.90 , 1
8481.10.00 , 0
8481.20.90 , 0
8481.80.92 , 0
8481.80.99 , 0
8483.10.11 , 0
8483.10.19 , 0
8483.10.19 , 1
8483.10.20 , 0
8483.10.30 , 0
8483.10.40 , 0
8483.10.50 , 0
8483.10.90 , 0
8483.20.00 , 0
8483.30.10 , 0
8483.30.21 , 0
8483.30.29 , 0
8483.30.90 , 0
8483.40.10 , 0
8483.40.90 , 0
8483.50.10 , 0
8483.50.90 , 0
8483.60.19 , 0
8501.10.19 , 0
8505.20.10 , 0
8505.20.90 , 0
8505.20.90 , 1
8511.10.00 , 0
8511.20.10 , 0
8511.20.90 , 0
8511.30.10 , 0
8511.30.20 , 0
8511.40.00 , 0
8511.40.00 , 1
8511.50.10 , 0
8511.50.10 , 1
8511.50.90 , 0
8511.80.10 , 0
8511.80.20 , 0
8511.80.30 , 0
8511.80.90 , 0
8511.90.00 , 0
8512.20.11 , 0
8512.20.11 , 1
8512.20.19 , 0
8512.20.21 , 0
8512.20.21 , 1
8512.20.22 , 0
8512.20.23 , 0
8512.20.29 , 0
8512.30.00 , 0
8512.40.10 , 0
8512.40.20 , 0
8512.90.00 , 0
8527.21.00 , 0
8527.29.00 , 0
8539.10.10 , 0
8539.10.90 , 0
8544.30.00 , 0
8544.30.00 , 1
8706.00.10 , 0
8706.00.10 , 1
8706.00.90 , 0
8706.00.90 , 1
8707.10.00 , 0
8707.90.10 , 0
8707.90.90 , 0
8707.90.90 , 1
8708.10.00 , 0
8708.21.00 , 0
8708.29.11 , 0
8708.29.12 , 0
8708.29.13 , 0
8708.29.14 , 0
8708.29.19 , 0
8708.29.91 , 0
8708.29.92 , 0
8708.29.93 , 0
8708.29.94 , 0
8708.29.95 , 0
8708.29.99 , 0
8708.30.11 , 0
8708.30.19 , 0
8708.30.90 , 0
8708.40.11 , 0
8708.40.19 , 0
8708.40.80 , 0
8708.40.90 , 0
8708.50.11 , 0
8708.50.12 , 0
8708.50.80 , 0
8708.50.91 , 0
8708.50.99 , 0
8708.70.10 , 0
8708.70.90 , 0
8708.80.00 , 0
8708.80.00 , 1
8708.80.00 , 2
8708.91.00 , 0
8708.92.00 , 0
8708.92.00 , 1
8708.92.00 , 2
8708.93.00 , 0
8708.93.00 , 1
8708.94.11 , 0
8708.94.12 , 0
8708.94.13 , 0
8708.94.81 , 0
8708.94.82 , 0
8708.94.83 , 0
8708.94.90 , 0
8708.95.10 , 0
8708.95.21 , 0
8708.95.22 , 0
8708.95.29 , 0
8708.99.10 , 0
8708.99.90 , 0
9029.20.10 , 0
9029.20.10 , 1
9029.90.10 , 0
9031.80.40 , 0
9032.89.21 , 0
9032.89.22 , 0
9032.89.23 , 0
9032.89.24 , 0
9032.89.25 , 0
9032.89.29 , 0
9104.00.00 , 0
9401.20.00 , 1
9401.20.00 , 2
9401.20.00 , 3
9401.20.00 , 4
4016.99.90 , 3
4016.99.90 , 5
7320.10.00 , 1
8536.50.90 , 1




