"item							";CEST;descricao
90.0;0109000;"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários"
69.0;0106900;Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00
6.0;0100600;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias
91.0;0109100;Cilindros pneumáticos
30.0;0103000;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408
26.0;0102600;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns
49.0;0104900;Rolamentos
55.0;0105500;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes
7.0;0100700;Juntas, gaxetas e outros elementos com função semelhante de vedação
75.0;0107500;Partes e acessórios dos veículos automóveis das posições 8701 a 8705
90.0;0109000;"Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários"
83.0;0108300;Controladores eletrônicos
15.0;0101500;Vidros de dimensões e formatos que permitam aplicação automotiva
30.0;0103000;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408
9.0;0100900;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins
20.0;0102000;Molas e folhas de molas, de ferro ou aço
51.0;0105100;"Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas (selos mecânicos)"
49.0;0104900;Rolamentos
39.0;0103900;Partes dos aparelhos para filtrar ou depurar líquidos ou gases
70.0;0107000;Faróis e projetores, em unidades seladas
2.0;0100200;Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos
92.0;0109200;Bomba elétrica de lavador de para-brisa
79.0;0107900;Aparelhos para medida ou controle da pressão
27.0;0102700;Triângulo de segurança
30.0;0103000;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408
54.0;0105400;"Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores"
75.0;0107500;Partes e acessórios dos veículos automóveis das posições 8701 a 8705
55.0;0105500;Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes
75.0;0107500;Partes e acessórios dos veículos automóveis das posições 8701 a 8705
20.0;0102000;Molas e folhas de molas, de ferro ou aço
26.0;0102600;Dobradiças, guarnições, ferragens e artigos semelhantes de metais comuns
75.0;0107500;Partes e acessórios dos veículos automóveis das posições 8701 a 8705
79.0;0107900;Aparelhos para medida ou controle da pressão
30.0;0103000;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408
30.0;0103000;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408
75.0;0107500;Partes e acessórios dos veículos automóveis das posições 8701 a 8705
75.0;0107500;Partes e acessórios dos veículos automóveis das posições 8701 a 8705
85.0;0108500;Assentos e partes de assentos
78.0;0107800;"Medidores de nível; Medidores de vazão"
21.0;0102100;Obras moldadas, de ferro fundido, ferro ou aço, exceto as do código 7325.91.00
51.0;0105100;"Juntas metaloplásticas; jogos ou sortidos de juntas de composições diferentes, apresentados em bolsas, envelopes ou embalagens semelhantes; juntas de vedação mecânicas (selos mecânicos)"
35.0;0103500;Partes das bombas, compressores e turbocompressores dos CEST 01.032.00, 01.033.00 e 01.034.00
50.0;0105000;"Árvores de transmissão (incluídas as árvores de “cames” e virabrequins) e manivelas; mancais e “bronzes”; engrenagens e rodas de fricção; eixos de esferas ou de roletes; redutores, multiplicadores, caixas de transmissão e variadores de velocidade, incluídos os conversores de torque; volantes e polias, incluídas as polias para cadernais; embreagens e dispositivos de acoplamento, incluídas as juntas de articulação"
88.0;0108800;Juntas de vedação de cortiça natural e de amianto
75.0;0107500;Partes e acessórios dos veículos automóveis das posições 8701 a 8705
75.0;0107500;Partes e acessórios dos veículos automóveis das posições 8701 a 8705
2.0;0100200;Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos
34.0;0103400;Compressores e turbocompressores de ar
30.0;0103000;Partes reconhecíveis como exclusiva ou principalmente destinadas aos motores das posições 8407 ou 8408
8.0;0100800;Partes de veículos automóveis, tratores e máquinas autopropulsadas
